3
7937 294 5796 253 144 38 63 39 1 0 276 1 1.400000
11158 249 5192 47 46 82 29 25 39 20 608 1 1.000000
3531 536 7200 0 70 199 46 50 107 20 386 1 3.600000
8203 138 7405 31 172 60 27 75 60 0 165 1 4.000000
13943 224 7296 175 0 102 110 91 46 20 409 1 2.044445
4051 111 5248 36 169 254 46 103 249 20 298 1 3.533333
2945 440 8283 0 93 199 17 175 215 20 364 1 4.000000
4701 289 10183 254 127 2 154 180 11 20 475 1 2.777778
418 532 8024 187 125 7 165 121 36 20 475 1 2.755556
960 503 5378 0 121 199 9 152 200 20 586 1 4.000000
436 615 5952 0 187 199 17 57 208 20 630 1 1.577778
6999 493 7286 138 184 138 147 218 245 0 409 1 0.622222
2953 576 10424 233 166 94 188 190 66 20 963 1 4.000000
5482 214 5395 248 148 59 255 210 3 0 564 1 3.577778
9180 71 7326 121 19 0 249 239 239 20 409 0 1.000000
6770 188 7365 51 154 251 49 135 202 20 209 0 2.666667
1369 523 5011 155 182 48 158 141 6 0 431 1 2.177778
3179 474 7849 0 93 199 17 175 215 20 364 1 4.000000
725 288 7675 0 56 160 57 108 255 88 586 1 4.000000
451 550 6505 182 130 48 158 124 6 0 652 1 2.177778
3173 505 9073 182 108 48 237 167 45 20 542 1 0.822222
1339 480 9404 187 154 0 247 142 30 20 364 1 4.000000
3752 -97 5713 254 127 2 179 149 77 20 209 0 0.844444
6578 265 5683 166 112 76 57 29 0 0 276 1 4.000000
8215 43 6349 124 141 205 160 196 168 0 320 0 1.155556
7486 229 6086 112 251 154 126 173 187 0 143 1 3.955555
1293 626 9611 123 165 252 110 219 255 20 120 1 0.888889
5574 116 5921 78 234 244 45 107 250 0 253 1 1.755556
1390 133 5110 182 149 48 158 116 6 0 431 1 2.177778
278 462 9317 92 247 253 160 192 241 177 652 1 2.177778
1533 323 7328 0 138 246 20 112 251 111 431 1 4.000000
133 624 3396 6 80 249 50 225 10 177 2115 1 1.088889
5889 234 8206 254 168 66 120 99 1 0 719 1 4.000000
5241 187 8633 233 143 1 231 155 9 20 608 0 1.888889
5162 277 8541 254 127 2 129 151 91 20 586 1 1.844444
5893 89 7836 128 217 201 112 173 194 0 209 0 1.533333
4851 34 8369 39 59 84 21 49 69 0 165 0 2.444444
5932 106 8306 233 154 1 231 118 9 20 253 1 1.888889
5672 190 7976 208 249 110 90 254 1 0 143 1 4.000000
5673 122 7889 178 218 82 105 248 185 0 143 1 4.000000
5432 63 8278 128 162 84 107 180 93 0 320 1 1.444444
5682 376 7992 179 253 3 159 123 209 0 143 1 2.866667
5327 39 8167 138 163 165 103 144 156 0 165 0 2.444444
368 402 6500 182 130 48 158 127 6 0 630 1 1.466667
5585 402 7967 168 163 188 135 170 136 88 564 1 0.600000
5221 339 8229 114 103 146 79 192 87 20 231 1 2.244444
5107 172 8358 117 177 47 139 176 91 0 98 1 1.333333
5488 84 7500 118 152 108 110 134 159 0 276 0 0.977778
5706 9 7540 113 254 19 4 211 9 0 209 1 0.933333
5708 101 7780 19 223 254 4 101 211 0 76 1 4.000000
6040 19 7893 113 254 19 4 211 9 0 209 1 0.933333
5408 68 7987 113 254 19 4 211 9 0 409 1 0.000000
7403 314 7704 206 146 51 120 32 1 0 475 1 4.000000
8545 318 7729 206 124 51 138 69 51 0 741 1 2.955555
7469 13 7895 233 116 1 231 134 9 20 630 0 1.355556
8576 236 7878 233 116 1 231 108 9 20 542 0 1.355556
7549 197 7282 239 219 253 242 223 249 0 231 0 3.355556
7838 182 7480 156 252 43 1 231 77 0 453 1 1.311111
7559 243 7513 239 219 253 242 223 249 0 143 1 3.355556
8756 279 7397 194 125 214 222 199 253 0 231 1 4.000000
7514 131 6050 112 251 161 126 173 187 0 143 1 1.933333
5357 79 7546 118 152 108 110 134 159 0 276 1 1.644444
5064 87 8092 118 152 108 110 134 159 0 276 1 1.644444
5783 -28 7771 118 152 108 110 134 159 0 276 1 1.644444
5763 225 7769 105 137 142 86 97 110 0 276 1 2.266667
5858 297 7847 105 137 142 86 97 110 0 209 1 1.066667
5637 126 7762 161 242 255 102 167 241 0 209 1 2.800000
5418 310 8332 73 141 218 42 106 166 0 209 0 2.444444
5746 213 7983 105 137 142 86 97 110 0 298 0 1.622222
1265 445 8038 143 127 65 193 128 65 0 519 0 2.444444
1394 585 7977 143 121 65 147 79 39 0 276 0 2.444444
14128 650 7919 143 121 65 183 134 2 0 808 0 1.933333
14027 575 7985 143 118 65 183 125 2 0 276 0 2.444444
6012 99 5514 24 221 251 20 127 248 0 253 1 3.577778
6315 280 5935 195 253 114 165 252 15 0 209 1 3.622222
6360 124 5876 195 253 114 165 252 15 0 98 1 3.622222
4674 96 5789 137 203 241 135 162 252 20 120 1 4.000000
4733 134 5854 137 203 241 135 162 252 20 120 1 4.000000
