5319 129 6744 0 52 136 497
10076 113 6740 0 52 136 497
7673 351 5693 0 110 24 608
11175 216 5186 0 128 31 608
12044 113 5691 175 0 102 453
6318 220 5560 0 128 35 675
9132 282 5592 0 126 34 608
4333 244 5246 0 107 25 630
11655 109 5910 175 0 102 453
11178 122 7908 175 0 102 342
11340 100 6235 175 0 102 453
11115 102 6565 175 0 102 342
11019 145 7008 175 0 102 342
11006 156 7464 175 0 102 342
11392 142 8351 175 0 102 342
11719 242 8511 175 0 102 342
4396 75 7474 0 119 199 364
3531 479 7200 0 70 199 386
3371 88 5679 0 119 199 364
4371 77 7025 0 119 199 364
4080 83 6249 0 119 199 364
4306 86 6572 0 119 199 475
4014 85 8347 0 119 199 497
4256 89 7900 0 119 199 364
3702 138 8565 0 119 199 542
7651 248 7148 0 97 14 542
8275 211 7155 0 110 32 652
8153 267 8862 0 151 35 409
12071 181 6726 175 0 102 342
14737 407 9122 175 0 102 342
12452 174 6428 175 0 102 342
12482 192 8088 175 0 102 342
12045 245 7715 175 0 102 342
11925 235 7268 175 0 102 342
15177 494 7879 175 0 102 342
13296 368 10286 175 0 102 342
15141 684 7230 175 0 102 874
14316 378 9621 175 0 102 342
15054 443 8584 175 0 102 342
15242 412 6692 175 0 102 342
13799 380 10030 175 0 102 342
13272 422 4340 175 0 102 342
14354 462 5007 175 0 102 342
15016 521 5971 175 0 102 342
13835 433 4626 175 0 102 342
13955 407 9545 150 0 52 453
14783 437 5512 175 0 102 342
14720 357 8706 150 0 52 453
14925 396 8190 150 0 52 453
13464 493 9841 150 0 52 453
14400 312 9165 150 0 52 453
3723 143 5790 0 119 199 453
2896 421 8268 0 92 199 386
3249 441 7877 0 70 165 386
3256 378 6567 0 70 199 386
1487 518 6454 0 94 160 608
1787 674 9989 0 119 199 564
3272 246 8769 0 119 199 364
939 566 9294 0 119 199 497
353 496 8072 182 119 48 364
889 689 5233 0 119 199 564
105 468 7607 0 119 199 364
430 699 5925 0 119 199 364
1784 654 4556 0 119 199 608
7052 288 7115 0 90 19 542
7262 282 8834 0 109 21 409
7691 148 5926 0 110 24 231
9122 138 7186 121 51 0 409
6286 151 7159 121 43 12 475
2759 437 6150 0 73 199 386
13910 538 6473 145 4 73 808
1565 514 6882 0 56 109 364
14878 402 6219 150 0 52 453
13648 595 7254 145 4 73 808
14302 310 5491 150 0 52 453
14560 378 5783 150 0 52 453
12764 514 10369 175 53 14 564
12260 547 9084 175 53 14 564
12323 642 5170 175 53 14 564
12632 714 3990 175 53 14 564
1033 688 7500 0 26 153 1029
14440 688 7420 31 0 62 1162
1466 386 5015 182 119 48 298
2875 469 10288 182 119 48 276
-43 241 10371 182 119 48 364
226 627 7339 0 94 160 608
473 693 8554 0 119 199 386
2171 473 9871 0 119 199 386
346 538 6511 182 119 48 276
3104 541 9167 182 119 48 187
2264 740 4258 0 119 199 608
1346 564 9446 182 119 48 276
2293 755 10253 0 119 199 564
1570 626 7498 0 56 109 364
2570 294 5269 0 119 199 608
